"","sdate","edate","duration","mag","area","lon","lat","rad"
"1",2003-07-25,2003-10-13,80,0.59,431365.53,-140.896162926346,30.9286721448413,3.35115690350256
"2",2004-05-02,2004-05-26,24,0.5,276112.53,-155.725745827004,34.9595357654713,2.68111289189188
"3",2004-06-09,2004-08-14,66,0.78,390281.77,-143.767587358025,27.6627508515765,3.18758060881854
"4",2005-05-25,2005-06-19,25,1.05,137635.74,-159.05013666521,32.6164460968553,1.89294351246172
"5",2006-07-18,2006-08-22,35,0.66,239798.52,-147.986803531466,27.0702727140239,2.49859169680391
"6",2006-08-31,2006-09-18,18,0.43,177769.26,-152.540611146869,31.1021199405555,2.15129701945297
"7",2007-06-07,2007-06-26,19,0.39,147347.3,-158.902799926558,34.8904061813417,1.95858820305917
"8",2007-09-08,2007-11-06,59,0.64,265670.21,-151.541734315492,32.6801789086144,2.62992566166304
"10",2009-06-24,2009-07-17,23,0.24,154143.89,-146.690957602343,29.9220333481845,2.00325022682186
"11",2013-05-26,2013-07-04,39,0.31,428244.46,-152.956231678023,32.8794462939773,3.33901153927906
"12",2013-07-16,2013-09-01,47,0.55,270938.62,-148.391663232139,29.0806054087342,2.65587420221578
"13",2014-05-18,2014-08-19,93,0.66,444008.23,-142.897719726249,32.6890379793321,3.39991103681332
"14",2014-09-02,2014-09-25,23,0.28,638586.11,-144.565165493149,28.4137506846158,4.07738552842482
"15",2015-08-29,2015-09-18,20,0.27,320467.17,-138.515630086263,33.152418083273,2.88844309409951
"16",2015-09-28,2015-12-18,81,0.95,753735.33,-158.03711948215,34.7484456007564,4.42977307912445
"17",2018-07-28,2018-10-21,85,0.67,932114.72,-150.394237666301,25.4047774478316,4.9261397299902
"18",2019-06-19,2019-08-29,71,0.73,523619.46,-137.495697099392,30.7209141186604,3.69215506507088
"19",2020-07-16,2020-08-14,29,0.8,364576.97,-152.365758831581,32.7086831853631,3.08082236834793
