"","sdate","edate","duration","mag","area","lon","lat"
"1",2003-07-25,2003-10-05,72,0.59,441194.04,-138.933491866244,30.5326356500584
"2",2004-06-10,2004-08-14,65,0.78,390251.73,-142.741479445238,28.4437807797163
"3",2006-07-22,2006-08-22,31,0.66,229453.43,-153.176797914949,25.5081328585803
"4",2006-08-31,2006-09-18,18,0.43,173936.04,-151.892008762734,29.3927683362774
"5",2007-06-07,2007-06-26,19,0.27,98089.17,-159.567424067745,34.6299177099157
"6",2007-09-08,2007-11-23,76,0.64,350355.41,-151.293493679419,32.1572389058741
"7",2008-09-15,2009-04-11,208,3.14,669604.63,-163.480515838952,34.2529109148142
"8",2013-05-26,2013-07-04,39,0.31,359144.66,-149.306597126064,28.6735061911208
"9",2013-07-16,2013-09-09,55,0.55,260812.78,-150.261449841074,28.2187681263238
"10",2014-05-27,2014-08-19,84,0.66,434350.32,-139.873453845271,32.22469515224
"11",2014-08-31,2014-09-20,20,0.28,649721.29,-140.362068677286,29.0486791108117
"12",2015-08-29,2015-09-18,20,0.27,329808.44,-151.304543302824,31.1267237815128
"13",2015-09-28,2015-12-11,74,0.6,745762.72,-157.743565692324,25.277271455707
"14",2018-07-28,2018-10-21,85,0.67,946272.46,-150.284973129528,24.4644161325641
"15",2019-06-19,2019-08-29,71,0.73,529506.23,-137.220361180243,30.6824641154701
"16",2020-07-16,2020-08-15,30,0.8,349776.32,-152.495498283542,32.5460871638084
