"","sdate","edate","duration","mag","area","lat","lon"
"1",2003-07-14,2003-10-15,93,0.59,1148125.3,31.5112473972309,-139.363832870647
"2",2004-06-01,2004-10-01,122,0.78,1400771.1,31.1789790266238,-141.278220504416
"3",2005-07-02,2005-10-01,91,0.38,337605.1,32.6741866943555,-157.758601003822
"4",2006-07-15,2006-11-15,123,0.61,1413500.38,33.4633240745472,-157.925069493715
"5",2007-08-15,2007-11-15,92,0.7,808776.74,31.801982221512,-152.181906592407
"6",2008-08-10,2008-11-15,97,0.51,1370220.78,24.0352090585727,-150.891775795736
"7",2009-06-13,2009-10-10,119,0.37,318461.15,26.1949534675184,-143.608779362918
"8",2010-07-05,2010-09-01,58,0.3,294595.61,22.2492665665599,-164.292489232121
"9",2011-09-14,2011-11-15,62,0.41,692838.11,32.134250592119,-152.514843572193
"10",2012-07-01,2012-09-06,67,0.27,256445,32.5911196017037,-152.847780551979
"11",2013-07-20,2013-11-20,123,0.49,705141.37,32.2588512310967,-162.919124190504
"12",2014-06-20,2014-11-20,153,0.6,1568259.96,34.9169981959529,-163.418529660183
"13",2015-08-01,2015-10-01,61,0.29,1039597.56,23.4537394100104,-164.250872109648
"14",2016-04-02,2016-05-25,53,1.08,1240485.31,34.210927908413,-151.682501122728
"15",2017-07-30,2017-10-23,85,0.3,1087632.85,27.3163592183171,-152.598077817139
"16",2018-07-15,2018-11-20,128,0.65,2076097.27,23.7029406879657,-156.093916104892
"17",2019-06-15,2019-11-08,146,0.72,1380047.54,30.431375192758,-136.034463072787
"18",2020-06-01,2020-10-20,141,0.77,1538556.52,31.9681164068155,-147.395937507984
"19",2021-06-15,2021-11-08,146,0.24,499332.61,34.6262633716718,-130.957174131051
